Latitude,Longitude,Metres above sea level
45.843188,5.122481,201.40
45.843155,5.122518,201.40
45.843108,5.122554,201.20
45.843053,5.122589,201.00
45.843005,5.122607,200.80
45.842963,5.122637,200.70
45.842930,5.122682,200.50
45.842907,5.122729,200.50
45.842890,5.122783,200.40
45.842882,5.122828,200.40
45.842879,5.122892,200.40
45.842874,5.122997,200.30
45.842870,5.123146,200.50
45.842870,5.123329,201.00
45.842870,5.123451,201.00
45.842870,5.123551,201.00
45.842868,5.123782,201.00
45.842866,5.123927,201.00
45.842866,5.124118,201.30
45.842864,5.124277,201.30
45.842860,5.124472,201.30
45.842860,5.124686,201.30
45.842856,5.124860,201.30
45.842858,5.125052,201.30
45.842864,5.125150,201.30
