0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,,Rbob 20°C,0.051,Ohm,,,,,,,,,,,,,,,,,
,,Rbob T,0.0612,Ohm,,,,,,,,,,,,,,,,,
,,Tbob,50.0,°C,,,,,,,,,,,,,,,,,
,,Kt,0.915,N.m/A,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Puissance (W),Omega (RPM),,,,,,,,,,,,,,,,,,,
,3,0.8794964922,0.926870919,0.9420005577,0.9486355189,0.9518853888,0.953484864,0.9541769568,0.9543292471,0.9541424424,0.9537342947,,,,,,,,,,
,4,0.8469874082,0.9071718721,0.927147476,0.9362128368,0.9408619514,0.943332063,0.9445909528,0.9451211703,0.9451880286,0.944948204,,,,,,,,,,
,5,0.8169355534,0.8885262763,0.9130575342,0.9244687964,0.930495802,0.9338399139,0.9356800322,0.9366079319,0.936950824,0.9369029285,,,,,,,,,,
,6,0.7890356759,0.8707910561,0.8995977074,0.913263591,0.9206371689,0.9248481661,0.9272736396,0.9286090335,0.9292407873,0.9293992728,,,,,,,,,,
,7,0.7630440958,0.8538660821,0.8866822808,0.9025101838,0.9111942822,0.916259456,0.9192686732,0.9210157233,0.9219436818,0.9223177022,,,,,,,,,,
,8,0.7387589383,0.8376749506,0.8742504717,0.892148972,0.9021053518,0.9080088242,0.9115967212,0.9137560973,0.9149841643,0.9155795219,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,rendement,courant phase,,,,,,,,,,,,,,,,,,,
,1,0.915,,,,,,,,,,,,,,,,,,,
,2,1.83,,,,,,,,,,,,,,,,,,,
,3,2.745,,,,,,,,,,,,,,,,,,,
,4,3.66,,,,,,,,,,,,,,,,,,,
,5,4.575,,,,,,,,,,,,,,,,,,,
,6,5.49,,,,,,,,,,,,,,,,,,,
,7,6.405,,,,,,,,,,,,,,,,,,,
,8,7.32,,,,,,,,,,,,,,,,,,,
